xmin,ymin,xmax,ymax,class
46,794,76,824,6
58,509,88,539,8
61,650,91,680,8
85,332,115,362,8
146,742,176,772,3
151,539,181,569,8
152,800,182,830,4
171,273,201,303,6
182,499,212,529,2
183,604,213,634,1
187,385,217,415,6
190,675,220,705,8
247,687,277,717,8
251,821,281,851,1
262,317,292,347,7
279,594,309,624,7
304,487,334,517,5
314,182,344,212,8
320,379,350,409,5
341,642,371,672,8
352,567,382,597,1
353,805,383,835,5
358,785,388,815,8
377,720,407,750,3
387,617,417,647,6
391,357,421,387,6
407,772,437,802,7
422,274,452,304,6
422,536,452,566,1
442,445,472,475,8
475,435,505,465,7
487,841,517,871,1
497,749,527,779,1
505,176,535,206,8
506,673,536,703,8
533,548,563,578,5
566,352,596,382,4
571,648,601,678,6
601,456,631,486,8
603,752,633,782,8
655,289,685,319,3
662,584,692,614,1
678,456,708,486,8
679,797,709,827,5
685,709,715,739,2
692,663,722,693,7
706,146,736,176,4
716,347,746,377,8
760,505,790,535,3
766,587,796,617,6
778,138,808,168,8
783,760,813,790,8
796,648,826,678,8
801,849,831,879,8
810,373,840,403,8
825,332,855,362,5
829,220,859,250,2
833,465,863,495,3
874,609,904,639,8
888,96,918,126,1
907,738,937,768,8
915,825,945,855,2
917,345,947,375,8
921,450,951,480,7
945,243,975,273,7
945,564,975,594,8
957,506,987,536,3
989,638,1019,668,6
1004,248,1034,278,4
1008,728,1038,758,6
1010,172,1040,202,2
1017,451,1047,481,6
1086,547,1116,577,8
1090,351,1120,381,6
1094,776,1124,806,7
1103,670,1133,700,8
1107,262,1137,292,8
1143,460,1173,490,4
1158,188,1188,218,5
1185,348,1215,378,8
1194,663,1224,693,7
1198,598,1228,628,7
