0,1,2,3,4
454,133,464,143,3
443,285,453,295,8
535,230,545,240,1
359,388,369,398,10
420,453,430,463,9
351,478,361,488,8
227,411,237,421,10
227,320,237,330,8
578,295,588,305,8
648,352,658,362,6
700,279,710,289,10
724,156,734,166,10
764,198,774,208,10
843,258,853,268,10
1042,228,1052,238,9
1115,207,1125,217,10
1182,391,1192,401,10
659,522,669,532,1
798,450,808,460,1
869,520,879,530,2
1030,367,1040,377,5
975,576,985,586,10
906,606,916,616,7
1003,466,1013,476,9
938,776,948,786,2
848,918,858,928,10
792,810,802,820,10
343,609,353,619,9
364,586,374,596,9
500,899,510,909,10
362,688,372,698,10
271,680,281,690,6
291,745,301,755,10
414,782,424,792,10
453,750,463,760,10
675,931,685,941,10
833,579,843,589,10
740,832,750,842,10
1174,619,1184,629,9
629,820,639,830,10
1045,796,1055,806,9
202,859,212,869,6
529,957,539,967,8
677,289,687,299,9
685,303,695,313,2
